지역구,지역명,주차 시작점,주차 종료점,구간길이,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,관할동
인천광역시 남동구,소래역로,소래포구 입구↔소래포구종합어시장,,총(양면) 300m/ 일면 150m,주말 공휴일 09:00∼21:00,,,,,,,논현1동
인천광역시 남동구,수인로,장자골사거리 버스정류장↔치아고개 삼거리,,"양면 1,440m(일면720m)","07:00~21:00(주말 , 공휴일)",,,,,,,장수서창동
인천광역시 남동구,수현로,삼부아파트↔수현삼거리,,"총(양면) 2,000m/ 일면1,000m",00:00~24:00 (공휴일 제외)+금지차종 : 1.4t이상 화물차,,,,,,,장수서창동
인천광역시 남동구,앵고개로,구생태다리 앞(가로등제어함)→+드림교회 건너편(도로 이정표),,일면 300m(140+160),"07:00~22:00(주말, 공휴일)",,,,,,,논현고잔동
인천광역시 남동구,연남로,농산물시장입구→농산물시장사거리,,일면 280m,07:00~23:00,,,,,,,구월3동
인천광역시 남동구,예술로 140번길,예술로138(이토타워) → 성말로13번길 20(문화주차장),,일면 140m,12:00~14:00(점심시간),,,,,,,구월3동
인천광역시 남동구,용천로,간석우체국↔정도타워빌,,일면 200m,07:00∼20:00/ 공휴일제외 상시금지차종 1.4t이상 화물차,,,,,,,간석2동
인천광역시 남동구,용천로,석산로205(배꼽시계)→용천로140(가족보건의원),,일면 150m,12:00~14:00(점심시간),,,,,,,간석2동
인천광역시 남동구,은봉로,하나비전교회와 논현포대근린공원 사이,,양면480m(일면 240m),공휴일 06:00~22:00,,,,,,,논현2동
인천광역시 남동구,인주대로914번길,인주대로914번길 42 인천도시개발공사 +(만수동1089-7 ~ 만수동1093),,양면 230m,"주정차금지시간 07:00~20:00+단 주말, 공휴일 제외",,,,,,,만수6동
인천광역시 남동구,인하로,농산물시장사거리→남동경찰서사거리,,일면 250m,00:00∼05:00,,,,,,,구월3동
인천광역시 남동구,호구포로,호구포로212(BBQ앞)→호구포로220(기아자동차),,일면 90m,12:00~14:00(점심시간),,,,,,,논현2동
인천광역시 남동구,은봉로 166번길+(2021.8차 심의 신규),근린공원 측면,,일면 400m,20:00~익일07:00,,,,,,,논현2동
인천광역시 남동구,남촌로124번길,새남촌공영주차장 측면,,일면 320m,20:00~익일07:00,,,,,,,남촌도림동
인천광역시 남동구,호구포로 201,호구포로 201 상가 앞 횡단보도와 횡단보도 사이,,양면 120m,20:00~익일07:00,,,,,,,논현2동
인천광역시 남동구,경원대로939번길,현광아파트 가동 앞 (간석한신더휴 측면),,일면 80m,20:00~익일08:00,,,,,,,간석4동
인천광역시 미추홀구,용현동,용오로 78-3↔용현굴다리(편측 0.35km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,숭의동,새천년로 6↔새천년로 8-1(편측 0.04km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,학익동,신동아4차 23동↔신동아5차 33동(편측 0.27km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,도화동,장고개로36번길 53↔장고개로36번길 7(편측 0.25km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,숭의동,석정로50번길 23↔석정로50번길 5(편측 0.11km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,주안동,석정로 439↔석정로 455(편측 0.19km),,,심야시간 22:00~06:00,,,,,,,
인천광역시 미추홀구,주안동,용화사사거리↔주안동 18-7(양측 0.37Km),,,심야시간 22:00~06:00 + 공휴일,,,,,,,
인천광역시 미추홀구,학익동,학익동 244-22↔학익동 251-3(편측 0.19km),,,심야시간 22:00~07:00,,,,,,,
인천광역시 미추홀구,학익동,매소홀로 409↔매소홀로 435(편측 0.34Km),,,주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00,,,,,,,
인천광역시 미추홀구,학익동,매소홀로 372↔매소홀로 388(편측 0.17Km),,,주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00,,,,,,,
인천광역시 미추홀구,학익동,소성로 171↔소성로185번길 28(편측 0.2Km),,,주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00,,,,,,,
인천광역시 미추홀구,학익동,소성로 177↔소성로 197(편측 0.23Km),,,주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00,,,,,,,
인천광역시 미추홀구,용현동,매소홀로 53↔매소홀로 63(편측 0.17Km),,,주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00,,,,,,,
인천광역시 미추홀구,용현동,독배로 401↔독배로 403(편측 0.09km),,,점심시간 12:00~14:00,,,,,,,
인천광역시 미추홀구,주안동,인하로 238↔인하로 254-1(편측 0.17km),,,점심시간 12:00~14:00,,,,,,,
인천광역시 미추홀구,주안동,주안로 112↔주안로 122(편측 0.145km),,,점심시간 12:00~14:00,,,,,,,
