지역구,지역명,주차 시작점,주차 종료점,구간길이,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,관할동
인천광역시 부평구,부평동,인천광역시 부평구 장고개삼거리(산곡장로교회 앞),인천광역시 부평구 동아아파트2단지 담장,,,,,,06:00,22:00,45,
인천광역시 부평구,삼산동,인천광역시 부평구 평천로 388 앞,인천광역시 부평구 평천로 394(농협삼산지점),,12:00,14:00,06:00,22:00,06:00,22:00,20,
인천광역시 부평구,갈산동,"인천광역시 부평구 주부토로 223, 금강프라자(주부토로219번길 접속부)","인천광역시 부평구 주부토로 231,갈산홈프라자(출입문앞) ",,12:00,14:00,00:00,23:59,00:00,23:59,20,
인천광역시 부평구,부개동,인천광역시 부평구 부흥로 381(부평기원앞),인천광역시 부평구 부흥로 389(백산빌딩),,12:00,14:00,,,,,10,
인천광역시 부평구,부개동,인천광역시 부평구 경인로1032번길 경인철강,인천광역시 부평구 경인로1032번길 이편한세상어반루체,,21:00,06:00,,,,,20,
인천광역시 부평구,청천동,인천광역시 부평구 세월천로 178 육교 앞,인천광역시 부평구 세월천로 원적산공원입구삼거리,,12:00,14:00,00:00,23:59,00:00,23:59,60,
인천광역시 동구,송향로,37.48075306442731,37.47963747882395,20,21:00,09:00,21:00,09:00,21:00,09:00,20,
인천광역시 동구,송림로118번길,37.47660608895501,37.4762831832176,4,21:00,09:00,00:00,23:59,,,4,
인천광역시 동구,동산로88번길,37.47601002338549,37.4757895937094,2,21:00,09:00,00:00,23:59,,,2,
인천광역시 동구,화수부두로1~화수부두로27,37.48758612055073,37.48819305834183,10,,,00:00,23:59,00:00,23:59,10,
인천광역시 동구,방축로191번길,37.47940206069436,37.480874001254186,20,20:00,07:00,20:00,07:00,20:00,07:00,20,
인천광역시 동구,동산로93~동산로31-1,37.47553473731175,37.471147183382186,120,22:00,06:00,00:00,23:59,00:00,23:59,120,
인천광역시 동구,인중로666~인중로680번길2,37.48065084476093,37.4801883185068,20,22:00,06:00,22:00,06:00,22:00,06:00,20,
인천광역시 동구,송림로97~송림로143,37.476200577162004,37.4776910766523,60,22:00,06:00,00:00,23:59,00:00,23:59,60,
인천광역시 동구,화도진로146~화도진로114,37.483528045905565,37.48117779690062,80,22:00,06:00,00:00,23:59,00:00,23:59,80,
인천광역시 동구,샛골로199~샛골로159,37.4801991539142,37.47661083713943,100,22:00,06:00,00:00,23:59,00:00,23:59,100,
인천광역시 동구,석수로1~석수로35,37.48076161248054,37.4794559984691,23,12:00,07:00,12:00,07:00,12:00,07:00,23,
인천광역시 동구,새천년로31~새천년로37,37.471951810334204,37.47141036783275,3,12:00,14:00,12:00,14:00,12:00,14:00,3,
인천광역시 동구,화도진로2~화도진로68,37.47354102842686,37.4781094596986,120,10:00,17:00,10:00,17:00,10:00,17:00,120,
인천광역시 동구,송현로5~송현로41-2,37.477086121752365,37.47959254369157,80,09:00,06:00,00:00,23:59,00:00,23:59,80,
인천광역시 동구,인중로(송림동 16-4 근처),37.47962397143994,37.478873228089206,20,21:00,07:00,21:00,07:00,21:00,07:00,20,
인천광역시 동구,방축로37번길,37.48643598205053,37.48906911893023,80,10:00,17:00,10:00,17:00,10:00,17:00,80,
인천광역시 동구,방축로61번길,37.48512871957576,37.487915457242224,80,10:00,17:00,10:00,17:00,10:00,17:00,80,
인천광역시 동구,방축로83번길,37.48437495503675,37.48669001970454,80,10:00,17:00,10:00,17:00,10:00,17:00,80,
인천광역시 동구,방축로54번길~방축로72번길,37.48542064898004,37.484406531906856,20,10:00,17:00,10:00,17:00,10:00,17:00,20,
인천광역시 동구,석수로43~석수로97,37.481026681573155,37.483206346841996,39,20:00,07:00,20:00,07:00,20:00,07:00,39,
인천광역시 동구,송현로29번길,37.479554204483186,37.47889094832949,15,20:00,07:00,20:00,07:00,20:00,07:00,15,
인천광역시 동구,송현로59번길,37.48063588250504,37.48080666374521,5,20:00,08:00,00:00,23:59,00:00,23:59,5,
